jobid, gpu type, walltime (s)
e756dbea6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 2088
e78c98666d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
e7c98da26d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
e806cde86d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
e83e74fa6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
e871f5506d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
e8b2726a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
e8e9d7786d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
e9204de46d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
e951d6fc6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1944
e98085606d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
e9b526086d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
ea2382106d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
ea59c87a6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
ea8e64d66d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
eac10ef46d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1728
eaf6d4e46d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
eb27d7ba6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
eb5bc7146d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
eb8ef74c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1620
ebc7b8c06d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
ec06088c6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
ec38cae26d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
ec6ab9626d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1620
ec9db34e6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
eccd9a146d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
ed03fc306d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
ed341d2a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1584
ed6e3c6c6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
eda7fa886d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
edd9c0b86d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
ee1461b46d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
ee4b79d86d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
ee83a4e86d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
eebd74526d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
eef1318e6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
ef25690e6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
ef5c58746d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
ef9682066d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
efce38ae6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
f00445a26d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f03de8486d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f0735d346d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
f0ab57346d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
f0e35e866d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1440
f11eae146d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f15511706d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
f18cfe966d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1476
f1c843c06d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1404
f1fe7a9e6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1296
f22eb7ae6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1260
f265c5f06d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1512
f2a094006d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f2d161846d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f31186d86d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f346f1746d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1548
f37a328c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f3b6b2526d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1224
f3efe28e6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1368
f4219d746d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1620
f455c2486d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, 1332
