Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address           Foreign Address         State       PID/Program name    
tcp        0      0 172.31.16.161:9618      172.31.11.10:38898      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.67.97:32940      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.15.226:38100     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.22:43796      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.66.163:35310     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.63:43487       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.124:37269      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.253:38332      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.110:43965     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.107:46555      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.70.124:40398     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.226:45097      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.145:41590     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.190:33870     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.71.185:42057     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.68.152:38464     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.11.10:46693      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.33:40533       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.113:37864      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.9.233:42276      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.72.184:38075     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.164:33178     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.5.64:32855       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.42:38369      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.6.152:46880      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.191:46120      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.75.158:37700     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.167:39561     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.205:36575     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.3.81:46297       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.17:34402      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.10.75:38990      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.7.130:39085      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.66.228:43409     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.187:36007     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.79.84:44343      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:21807     172.31.16.161:9618      ESTABLISHED 2438/condor_master  
tcp        0      0 172.31.16.161:9618      172.31.15.231:33798     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.78.103:36036     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.8.146:43969      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.68.109:46215     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.67.183:33492     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.16:38727       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.227:33132      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.68.206:41056     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.164:41309     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.1.144:42942      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.72.64:41132      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.76.21:41560      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.12.190:41492     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.14.81:44754      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.62:35405       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.82:42818      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.64.117:35896     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.67.196:45459     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.71.131:33412     ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.69.23:32945      ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.0.15:40335       ESTABLISHED 2481/condor_collect 
tcp        0      0 172.31.16.161:9618      172.31.2.16:34993       ESTABLISHED 2481/condor_collect 
