jobid, request_cpu, used_cpu, gpu type, gpu id, gpu memory, host, walltime (s), completion date
51f0686e6d8111ec934d141877284d92, 2, 1.14, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, , slot1_1@glidein_291_796386779@osg-wn-61f12860-00001e-cbw4w, 1440, 2022-02-09T23:09:26.778154
522242086d8111ec83fa141877284d92, 2, 1.35, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, , slot1_1@glidein_300_200527570@osg-wn-61f12860-000019-mn7ts, 1368, 2022-02-09T23:09:26.762122
525e62106d8111eca422141877284d92, 2, 1.27, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, , slot1_1@glidein_295_38815520@osg-wn-61f12860-00001d-69gxf, 1260, 2022-02-09T23:09:26.824438
52a27a686d8111ec9af0141877284d92, 2, 1.3, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/11/0, , slot1_1@glidein_299_102137563@osg-wn-61f12860-00001a-t8qbb, 1440, 2022-02-09T23:59:49.522003
52dc0fd06d8111eca422141877284d92, 2, 1.28, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, , slot1_1@glidein_297_60331269@osg-wn-61f12860-00001b-bspvg, 1512, 2022-02-09T23:12:16.422020
530fda406d8111ec934d141877284d92, 2, 1.3, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, , slot1_1@glidein_302_426155550@osg-wn-61f12860-000024-mgdzm, 1368, 2022-02-09T23:12:16.441315
535109a26d8111ec9af0141877284d92, 2, 1.32, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, , slot1_1@glidein_297_60331269@osg-wn-61f12860-00001b-bspvg, 1368, 2022-02-09T23:37:24.091471
5392fe7a6d8111ec83fa141877284d92, 2, 1.21, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, , slot1_1@glidein_298_153724880@osg-wn-61f12860-000025-bp8sn, 2016, 2022-02-09T23:29:02.038107
53c82b406d8111ec9af0141877284d92, 2, 1.34, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, , slot1_1@glidein_290_308993523@osg-wn-61f12860-000026-5h6db, 2124, 2022-02-09T23:51:23.316752
53f738226d8111ec9af0141877284d92, 2, 1.26, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, , slot1_1@glidein_295_38815520@osg-wn-61f12860-00001d-69gxf, 1620, 2022-02-09T23:56:58.610579
