#GPU, mean, median
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7416
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7092
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7451
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7092
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7092
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7488
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7451
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7235
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7272
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7164
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7416
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7128
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7344
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7379
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7307
A100-SXM4-40GB MIG 7g.40gb pa100m1, 7200
